what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389349224052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389349324411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389349843488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389349849592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389349857001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389349858400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389349911223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389349912976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389349932200
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1389349938317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389349947951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350107071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350109800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350162562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350178426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350291278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389350307518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389350330166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389350332543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1389350339452
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1389350343608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389350361395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351034937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351040725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351120547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351136133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351318663
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389351321514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389351324441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389351325753
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1389351329160
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351329597
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351329703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389351329850
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351349403
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351349457
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351349458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351379985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351494718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389351497163
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389351523182
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389351523535
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389351528220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351540673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351548052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351710671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351717558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351725051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351772731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389351878134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389351881035
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389351884832
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389351908446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389351911145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389351930899
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389351935920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389351936026
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1389351945539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389351954142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389351956673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389351960588
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389351976093
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389351976158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389351985724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1389351991922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352016021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352119127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352147436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352294845
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389352298754
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352316740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352316918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1389352336385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352336433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352346341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352413252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352417874
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352420457
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389352440906
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389352441031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352449987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1389352452575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352452651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352461619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352462870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352464989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352465160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389352471394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352481277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352483201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389352490652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352492058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352525233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352527601
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389352529320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389352533151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352546069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389352547716
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389352562913
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389352583314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389352584630
